,heur,run,hmax,best_x,best_y,neval
0,SG_10,0,10,"[0.27072479616179423, 1.0, 10, 80, 10]",0.8928571428571429,inf
1,SG_10,1,10,"[0.8270700900029242, 1.0, 10, 80, 10]",0.813953488372093,inf
2,SG_10,2,10,"[2.301277923895356, 1.0, 10, 80, 10]",0.6477272727272727,inf
3,SG_10,3,10,"[0.8333135472367843, 1.0, 10, 80, 10]",0.80078125,inf
4,SG_10,4,10,"[0.9816944191305139, 1.0, 10, 80, 10]",1.0,3.0
5,SG_10,5,10,"[1.7066462974808676, 1.0, 10, 80, 10]",0.5595238095238095,inf
6,SG_10,6,10,"[0.4224198771035268, 1.0, 10, 80, 10]",1.0,3.0
7,SG_10,7,10,"[0.5947714842326657, 1.0, 10, 80, 10]",0.7874015748031497,inf
8,SG_10,8,10,"[1.8289205655321044, 1.0, 10, 80, 10]",0.5730769230769232,inf
9,SG_10,9,10,"[0.2958189134975102, 1.0, 10, 80, 10]",0.8928571428571429,inf
10,SG_10,10,10,"[2.9156878819869894, 1.0, 10, 80, 10]",0.6022727272727273,inf
11,SG_10,11,10,"[1.2010914332996228, 1.0, 10, 80, 10]",0.8928571428571429,inf
12,SG_10,12,10,"[1.0874831377879834, 1.0, 10, 80, 10]",0.75,inf
13,SG_10,13,10,"[1.0020120579533103, 1.0, 10, 80, 10]",0.7201492537313433,inf
14,SG_10,14,10,"[1.037450289454652, 1.0, 10, 80, 10]",0.8928571428571429,inf
15,SG_10,15,10,"[0.4902555358334917, 1.0, 10, 80, 10]",0.813953488372093,inf
16,SG_10,16,10,"[1.116792915115195, 1.0, 10, 80, 10]",0.7874015748031497,inf
17,SG_10,17,10,"[1.7098553972222272, 1.0, 10, 80, 10]",0.627906976744186,inf
18,SG_10,18,10,"[0.6340068428892827, 1.0, 10, 80, 10]",1.0,30.0
19,SG_10,19,10,"[0.929243952757917, 1.0, 10, 80, 10]",0.80078125,inf
20,SG_10,20,10,"[0.3330939476306871, 1.0, 10, 80, 10]",0.6770833333333334,inf
21,SG_10,21,10,"[3.095927105705422, 1.0, 10, 80, 10]",0.44014084507042256,inf
22,SG_10,22,10,"[1.4356655613695612, 1.0, 10, 80, 10]",0.5978260869565217,inf
23,SG_10,23,10,"[2.4367927483457805, 1.0, 10, 80, 10]",0.6195652173913043,inf
24,SG_10,24,10,"[0.582942583402521, 1.0, 10, 80, 10]",0.7874015748031497,inf
25,SG_10,25,10,"[2.43534464012422, 1.0, 10, 80, 10]",0.6195652173913043,inf
26,SG_10,26,10,"[3.1601986456243853, 1.0, 10, 80, 10]",0.68359375,inf
27,SG_10,27,10,"[2.43466843630952, 1.0, 10, 80, 10]",0.6195652173913043,inf
28,SG_10,28,10,"[3.1029974692467053, 1.0, 10, 80, 10]",0.6477272727272727,inf
29,SG_10,29,10,"[2.2033950639110387, 1.0, 10, 80, 10]",0.5357142857142857,inf
