,heur,run,hmax,best_x,best_y,neval
0,SG_RD_0,0,0,"[0.4369298210517063, 1.0, 10, 80, 10]",0.8928571428571429,inf
1,SG_RD_0,1,0,"[0.582770759689009, 1.0, 10, 80, 10]",1.0,17.0
2,SG_RD_0,2,0,"[0.6059727519629607, 1.0, 10, 80, 10]",0.8928571428571429,inf
3,SG_RD_0,3,0,"[0.3575467765363598, 1.0, 10, 80, 10]",1.0,50.0
4,SG_RD_0,4,0,"[0.44675355330937316, 1.0, 10, 80, 10]",0.8928571428571429,inf
5,SG_RD_0,5,0,"[0.21096396375323323, 1.0, 10, 80, 10]",1.0,15.0
6,SG_RD_0,6,0,"[0.36804944092620717, 1.0, 10, 80, 10]",1.0,26.0
7,SG_RD_0,7,0,"[0.4957884226064313, 1.0, 10, 80, 10]",1.0,12.0
8,SG_RD_0,8,0,"[0.5114634780031735, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_RD_0,9,0,"[0.8722994128495003, 1.0, 10, 80, 10]",1.0,24.0
10,SG_RD_0,10,0,"[0.2041472429486313, 1.0, 10, 80, 10]",0.8928571428571429,inf
11,SG_RD_0,11,0,"[0.9238954627649112, 1.0, 10, 80, 10]",0.8928571428571429,inf
12,SG_RD_0,12,0,"[0.3855000104079256, 1.0, 10, 80, 10]",1.0,16.0
13,SG_RD_0,13,0,"[0.5411273855291006, 1.0, 10, 80, 10]",0.8928571428571429,inf
14,SG_RD_0,14,0,"[0.6589815363509044, 1.0, 10, 80, 10]",0.8079999999999999,inf
15,SG_RD_0,15,0,"[0.4486336287469155, 1.0, 10, 80, 10]",1.0,26.0
16,SG_RD_0,16,0,"[0.2746912247329041, 1.0, 10, 80, 10]",0.8928571428571429,inf
17,SG_RD_0,17,0,"[1.0290336839851686, 1.0, 10, 80, 10]",0.8928571428571429,inf
18,SG_RD_0,18,0,"[0.5781317578863767, 1.0, 10, 80, 10]",1.0,24.0
19,SG_RD_0,19,0,"[0.557992298861183, 1.0, 10, 80, 10]",1.0,47.0
20,SG_RD_0,20,0,"[0.4233510792616175, 1.0, 10, 80, 10]",0.813953488372093,inf
21,SG_RD_0,21,0,"[0.34662379834857715, 1.0, 10, 80, 10]",1.0,20.0
22,SG_RD_0,22,0,"[0.6292391530691002, 1.0, 10, 80, 10]",0.8928571428571429,inf
23,SG_RD_0,23,0,"[0.25158167825561195, 1.0, 10, 80, 10]",0.7874015748031497,inf
24,SG_RD_0,24,0,"[0.5117884740389624, 1.0, 10, 80, 10]",1.0,3.0
25,SG_RD_0,25,0,"[0.3358341307731383, 1.0, 10, 80, 10]",0.8928571428571429,inf
26,SG_RD_0,26,0,"[0.21058214237205286, 1.0, 10, 80, 10]",1.0,3.0
27,SG_RD_0,27,0,"[0.21769478676402532, 1.0, 10, 80, 10]",0.8928571428571429,inf
28,SG_RD_0,28,0,"[0.541517956622954, 1.0, 10, 80, 10]",0.8928571428571429,inf
29,SG_RD_0,29,0,"[0.3973090669823187, 1.0, 10, 80, 10]",0.8928571428571429,inf
30,SG_RD_0,30,0,"[0.8624225278881674, 1.0, 10, 80, 10]",1.0,38.0
31,SG_RD_0,31,0,"[0.21160561559020907, 1.0, 10, 80, 10]",1.0,25.0
32,SG_RD_0,32,0,"[0.5204980837077402, 1.0, 10, 80, 10]",1.0,44.0
33,SG_RD_0,33,0,"[0.498626640544078, 1.0, 10, 80, 10]",1.0,1.0
34,SG_RD_0,34,0,"[0.7027222066304, 1.0, 10, 80, 10]",0.8928571428571429,inf
35,SG_RD_0,35,0,"[0.49863897632818377, 1.0, 10, 80, 10]",1.0,3.0
36,SG_RD_0,36,0,"[0.597848668660188, 1.0, 10, 80, 10]",1.0,47.0
37,SG_RD_0,37,0,"[0.38431383646273654, 1.0, 10, 80, 10]",1.0,9.0
38,SG_RD_0,38,0,"[0.4323566232401661, 1.0, 10, 80, 10]",0.8928571428571429,inf
39,SG_RD_0,39,0,"[0.3093053010177331, 1.0, 10, 80, 10]",0.8928571428571429,inf
40,SG_RD_0,40,0,"[0.2050496401482529, 1.0, 10, 80, 10]",0.8928571428571429,inf
41,SG_RD_0,41,0,"[0.6087936429961704, 1.0, 10, 80, 10]",1.0,5.0
42,SG_RD_0,42,0,"[1.1055270489566875, 1.0, 10, 80, 10]",0.8928571428571429,inf
43,SG_RD_0,43,0,"[0.543230422711158, 1.0, 10, 80, 10]",0.8928571428571429,inf
44,SG_RD_0,44,0,"[0.3790423548504789, 1.0, 10, 80, 10]",1.0,46.0
45,SG_RD_0,45,0,"[1.053301682161436, 1.0, 10, 80, 10]",1.0,23.0
46,SG_RD_0,46,0,"[0.3802461984916774, 1.0, 10, 80, 10]",1.0,6.0
47,SG_RD_0,47,0,"[0.4205695373628209, 1.0, 10, 80, 10]",0.8928571428571429,inf
48,SG_RD_0,48,0,"[0.4092488496176454, 1.0, 10, 80, 10]",1.0,22.0
49,SG_RD_0,49,0,"[0.8646807396442893, 1.0, 10, 80, 10]",0.8928571428571429,inf
