,heur,run,hmax,best_x,best_y,neval
0,SG_RD_inf,0,inf,"[0.9849287049872522, 1.0, 10, 80, 10]",0.7874015748031497,inf
1,SG_RD_inf,1,inf,"[0.5278373637344456, 1.0, 10, 80, 10]",1.0,24.0
2,SG_RD_inf,2,inf,"[0.5774702819133513, 1.0, 10, 80, 10]",0.8928571428571429,inf
3,SG_RD_inf,3,inf,"[0.4593787735772277, 1.0, 10, 80, 10]",0.8928571428571429,inf
4,SG_RD_inf,4,inf,"[0.12926310069700486, 1.0, 10, 80, 10]",0.7976190476190477,inf
5,SG_RD_inf,5,inf,"[0.5065439712262707, 1.0, 10, 80, 10]",1.0,8.0
6,SG_RD_inf,6,inf,"[0.9828139575383008, 1.0, 10, 80, 10]",0.8928571428571429,inf
7,SG_RD_inf,7,inf,"[0.4953031201477014, 1.0, 10, 80, 10]",1.0,36.0
8,SG_RD_inf,8,inf,"[1.0334662799245309, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_RD_inf,9,inf,"[0.16901519895418948, 1.0, 10, 80, 10]",0.77734375,inf
10,SG_RD_inf,10,inf,"[0.41827567062161686, 1.0, 10, 80, 10]",0.8928571428571429,inf
11,SG_RD_inf,11,inf,"[3.4006951392856166, 1.0, 10, 80, 10]",0.6022727272727273,inf
12,SG_RD_inf,12,inf,"[0.6288829167053276, 1.0, 10, 80, 10]",1.0,27.0
13,SG_RD_inf,13,inf,"[0.4211751584070327, 1.0, 10, 80, 10]",1.0,22.0
14,SG_RD_inf,14,inf,"[0.9283823528391091, 1.0, 10, 80, 10]",1.0,2.0
15,SG_RD_inf,15,inf,"[1.0483749009387076, 1.0, 10, 80, 10]",0.8928571428571429,inf
16,SG_RD_inf,16,inf,"[0.5827062555080116, 1.0, 10, 80, 10]",1.0,12.0
17,SG_RD_inf,17,inf,"[0.8470722392268577, 1.0, 10, 80, 10]",0.7976190476190477,inf
18,SG_RD_inf,18,inf,"[0.3805813923202188, 1.0, 10, 80, 10]",0.8928571428571429,inf
19,SG_RD_inf,19,inf,"[0.3178511328181126, 1.0, 10, 80, 10]",0.8928571428571429,inf
20,SG_RD_inf,20,inf,"[0.5138830315272855, 1.0, 10, 80, 10]",0.8928571428571429,inf
21,SG_RD_inf,21,inf,"[0.8851671867508353, 1.0, 10, 80, 10]",0.625,inf
22,SG_RD_inf,22,inf,"[0.6218278858662925, 1.0, 10, 80, 10]",0.8928571428571429,inf
23,SG_RD_inf,23,inf,"[0.555027995791189, 1.0, 10, 80, 10]",0.8928571428571429,inf
24,SG_RD_inf,24,inf,"[1.0084333076807663, 1.0, 10, 80, 10]",0.8928571428571429,inf
25,SG_RD_inf,25,inf,"[0.4947962169939668, 1.0, 10, 80, 10]",0.8928571428571429,inf
26,SG_RD_inf,26,inf,"[0.7002403939659705, 1.0, 10, 80, 10]",0.7976190476190477,inf
27,SG_RD_inf,27,inf,"[1.068620144949699, 1.0, 10, 80, 10]",1.0,38.0
28,SG_RD_inf,28,inf,"[0.35562918951184797, 1.0, 10, 80, 10]",1.0,8.0
29,SG_RD_inf,29,inf,"[2.7490984325383283, 1.0, 10, 80, 10]",0.6514084507042254,inf
30,SG_RD_inf,30,inf,"[0.3586331158292104, 1.0, 10, 80, 10]",0.8928571428571429,inf
31,SG_RD_inf,31,inf,"[0.935591438449237, 1.0, 10, 80, 10]",1.0,30.0
32,SG_RD_inf,32,inf,"[0.19331258144975694, 1.0, 10, 80, 10]",0.75,inf
33,SG_RD_inf,33,inf,"[0.21031917492144148, 1.0, 10, 80, 10]",1.0,31.0
34,SG_RD_inf,34,inf,"[0.48497081524660013, 1.0, 10, 80, 10]",0.7874015748031497,inf
35,SG_RD_inf,35,inf,"[1.4449036081398883, 1.0, 10, 80, 10]",0.6220472440944882,inf
36,SG_RD_inf,36,inf,"[1.1169499760988106, 1.0, 10, 80, 10]",1.0,42.0
37,SG_RD_inf,37,inf,"[0.16557026067212277, 1.0, 10, 80, 10]",0.8928571428571429,inf
38,SG_RD_inf,38,inf,"[1.1886930249096874, 1.0, 10, 80, 10]",0.8928571428571429,inf
39,SG_RD_inf,39,inf,"[0.3741908685029047, 1.0, 10, 80, 10]",1.0,26.0
40,SG_RD_inf,40,inf,"[0.304627221380422, 1.0, 10, 80, 10]",0.8079999999999999,inf
41,SG_RD_inf,41,inf,"[1.1344111706382343, 1.0, 10, 80, 10]",1.0,10.0
42,SG_RD_inf,42,inf,"[0.6415714220130933, 1.0, 10, 80, 10]",0.8928571428571429,inf
43,SG_RD_inf,43,inf,"[0.48539756568127634, 1.0, 10, 80, 10]",0.7874015748031497,inf
44,SG_RD_inf,44,inf,"[1.0588805533192396, 1.0, 10, 80, 10]",1.0,42.0
45,SG_RD_inf,45,inf,"[0.2999256149916678, 1.0, 10, 80, 10]",0.8928571428571429,inf
46,SG_RD_inf,46,inf,"[0.4273395405737941, 1.0, 10, 80, 10]",1.0,44.0
47,SG_RD_inf,47,inf,"[2.0418625009606397, 1.0, 10, 80, 10]",0.7976190476190477,inf
48,SG_RD_inf,48,inf,"[0.36269493588053114, 1.0, 10, 80, 10]",1.0,21.0
49,SG_RD_inf,49,inf,"[0.382121019399253, 1.0, 10, 80, 10]",1.0,27.0
