,heur,run,hmax,best_x,best_y,neval
0,SG_RD_diam0.75,0,1,"[0.502062445267577, 1.0, 10, 80, 10]",0.813953488372093,inf
1,SG_RD_diam0.75,1,1,"[0.5728193177491634, 1.0, 10, 80, 10]",1.0,5.0
2,SG_RD_diam0.75,2,1,"[0.2618931798055866, 1.0, 10, 80, 10]",1.0,16.0
3,SG_RD_diam0.75,3,1,"[0.40506415076397095, 1.0, 10, 80, 10]",1.0,37.0
4,SG_RD_diam0.75,4,1,"[0.6604654123926612, 1.0, 10, 80, 10]",0.8928571428571429,inf
5,SG_RD_diam0.75,5,1,"[0.42102223580891707, 1.0, 10, 80, 10]",0.8928571428571429,inf
6,SG_RD_diam0.75,6,1,"[0.3737039199960148, 1.0, 10, 80, 10]",1.0,9.0
7,SG_RD_diam0.75,7,1,"[0.5919214659734484, 1.0, 10, 80, 10]",0.8928571428571429,inf
8,SG_RD_diam0.75,8,1,"[0.38594469940438536, 1.0, 10, 80, 10]",0.8928571428571429,inf
9,SG_RD_diam0.75,9,1,"[0.2155623118595873, 1.0, 10, 80, 10]",1.0,4.0
10,SG_RD_diam0.75,10,1,"[0.44098520508029626, 1.0, 10, 80, 10]",1.0,35.0
11,SG_RD_diam0.75,11,1,"[0.5892538213798648, 1.0, 10, 80, 10]",1.0,10.0
12,SG_RD_diam0.75,12,1,"[0.3133614612399289, 1.0, 10, 80, 10]",1.0,14.0
13,SG_RD_diam0.75,13,1,"[0.6621819453112279, 1.0, 10, 80, 10]",1.0,19.0
14,SG_RD_diam0.75,14,1,"[0.4109057544893484, 1.0, 10, 80, 10]",0.7874015748031497,inf
15,SG_RD_diam0.75,15,1,"[0.5413602361806662, 1.0, 10, 80, 10]",0.8928571428571429,inf
16,SG_RD_diam0.75,16,1,"[0.6288878488221474, 1.0, 10, 80, 10]",1.0,1.0
17,SG_RD_diam0.75,17,1,"[0.20728135987740126, 1.0, 10, 80, 10]",1.0,10.0
18,SG_RD_diam0.75,18,1,"[0.5486979723054866, 1.0, 10, 80, 10]",0.8928571428571429,inf
19,SG_RD_diam0.75,19,1,"[0.6570965883860529, 1.0, 10, 80, 10]",0.8928571428571429,inf
20,SG_RD_diam0.75,20,1,"[0.9142701243245659, 1.0, 10, 80, 10]",1.0,28.0
21,SG_RD_diam0.75,21,1,"[0.9384607354593499, 1.0, 10, 80, 10]",0.8928571428571429,inf
22,SG_RD_diam0.75,22,1,"[0.4448226479569315, 1.0, 10, 80, 10]",0.8928571428571429,inf
23,SG_RD_diam0.75,23,1,"[1.5272156654718057, 1.0, 10, 80, 10]",0.77734375,inf
24,SG_RD_diam0.75,24,1,"[0.5374479869755855, 1.0, 10, 80, 10]",0.7874015748031497,inf
25,SG_RD_diam0.75,25,1,"[0.539687141462613, 1.0, 10, 80, 10]",0.8928571428571429,inf
26,SG_RD_diam0.75,26,1,"[1.2048704393601817, 1.0, 10, 80, 10]",1.0,29.0
27,SG_RD_diam0.75,27,1,"[0.4379667807327099, 1.0, 10, 80, 10]",0.8928571428571429,inf
28,SG_RD_diam0.75,28,1,"[1.1188013060854942, 1.0, 10, 80, 10]",1.0,14.0
29,SG_RD_diam0.75,29,1,"[1.1511469988837444, 1.0, 10, 80, 10]",1.0,43.0
30,SG_RD_diam0.75,30,1,"[0.9354328003450623, 1.0, 10, 80, 10]",1.0,28.0
31,SG_RD_diam0.75,31,1,"[0.6565899726194231, 1.0, 10, 80, 10]",1.0,4.0
32,SG_RD_diam0.75,32,1,"[0.39631888194934994, 1.0, 10, 80, 10]",0.8928571428571429,inf
33,SG_RD_diam0.75,33,1,"[0.5201800570708501, 1.0, 10, 80, 10]",1.0,43.0
34,SG_RD_diam0.75,34,1,"[1.1456130373449875, 1.0, 10, 80, 10]",1.0,30.0
35,SG_RD_diam0.75,35,1,"[1.0983493531989663, 1.0, 10, 80, 10]",1.0,6.0
36,SG_RD_diam0.75,36,1,"[0.364800224571741, 1.0, 10, 80, 10]",1.0,16.0
37,SG_RD_diam0.75,37,1,"[0.48996714465392577, 1.0, 10, 80, 10]",1.0,29.0
38,SG_RD_diam0.75,38,1,"[0.9588783878289329, 1.0, 10, 80, 10]",0.8079999999999999,inf
39,SG_RD_diam0.75,39,1,"[0.31344941382937197, 1.0, 10, 80, 10]",1.0,32.0
40,SG_RD_diam0.75,40,1,"[0.6495906399467501, 1.0, 10, 80, 10]",0.8928571428571429,inf
41,SG_RD_diam0.75,41,1,"[2.737856664280611, 1.0, 10, 80, 10]",0.813953488372093,inf
42,SG_RD_diam0.75,42,1,"[0.5220611682673759, 1.0, 10, 80, 10]",1.0,13.0
43,SG_RD_diam0.75,43,1,"[0.5934962174718019, 1.0, 10, 80, 10]",0.8928571428571429,inf
44,SG_RD_diam0.75,44,1,"[0.42436019133291136, 1.0, 10, 80, 10]",0.8928571428571429,inf
45,SG_RD_diam0.75,45,1,"[0.3553379159011856, 1.0, 10, 80, 10]",1.0,14.0
46,SG_RD_diam0.75,46,1,"[0.9041130089272036, 1.0, 10, 80, 10]",1.0,27.0
47,SG_RD_diam0.75,47,1,"[0.36361586153622216, 1.0, 10, 80, 10]",0.8928571428571429,inf
48,SG_RD_diam0.75,48,1,"[0.32986291376583887, 1.0, 10, 80, 10]",1.0,9.0
49,SG_RD_diam0.75,49,1,"[1.095818516125333, 1.0, 10, 80, 10]",0.8928571428571429,inf
