walk_length,num_walks,p,q,window,adj_rand
80.0,10.0,1.0,1.0,2.0,0.36657534021032784
80.0,10.0,1.0,1.0,4.0,0.36670030486801375
80.0,10.0,1.0,1.0,6.0,0.3867651607802957
80.0,10.0,1.0,1.0,8.0,0.3985873736759141
80.0,10.0,1.0,1.0,10.0,0.3724287492494876
80.0,10.0,1.0,1.0,12.0,0.43493264665939796
80.0,10.0,1.0,1.0,14.0,0.3830736631530011
80.0,10.0,1.0,1.0,16.0,0.422419011207115
80.0,10.0,1.0,1.0,18.0,0.4080269851036112
80.0,10.0,1.0,1.0,20.0,0.40757417479920144
80.0,10.0,1.0,0.25,10.0,0.47151731713036305
80.0,10.0,1.0,0.5,10.0,0.4231534920655136
80.0,10.0,1.0,1.0,10.0,0.3724287492494876
80.0,10.0,1.0,2.0,10.0,0.4185596868511762
80.0,10.0,1.0,4.0,10.0,0.3726036138708788
80.0,10.0,0.25,1.0,10.0,0.37767544385977236
80.0,10.0,0.5,1.0,10.0,0.41307951988621605
80.0,10.0,1.0,1.0,10.0,0.3724287492494876
80.0,10.0,2.0,1.0,10.0,0.49355688753016314
80.0,10.0,4.0,1.0,10.0,0.43167901171672945
80.0,6.0,1.0,1.0,10.0,0.3441499188080035
80.0,8.0,1.0,1.0,10.0,0.4162889344585178
80.0,10.0,1.0,1.0,10.0,0.3724287492494876
80.0,12.0,1.0,1.0,10.0,0.4470157834311216
80.0,14.0,1.0,1.0,10.0,0.4419542027271326
80.0,16.0,1.0,1.0,10.0,0.45211317225099595
80.0,18.0,1.0,1.0,10.0,0.4619521101194833
80.0,20.0,1.0,1.0,10.0,0.4178658394931954
80.0,22.0,1.0,1.0,10.0,0.44075500934438105
20.0,10.0,1.0,1.0,10.0,0.20056316850036351
30.0,10.0,1.0,1.0,10.0,0.2695434399083792
40.0,10.0,1.0,1.0,10.0,0.36933082594885425
50.0,10.0,1.0,1.0,10.0,0.3719093278540676
60.0,10.0,1.0,1.0,10.0,0.37395982558822066
70.0,10.0,1.0,1.0,10.0,0.4026419045056228
80.0,10.0,1.0,1.0,10.0,0.3724287492494876
90.0,10.0,1.0,1.0,10.0,0.4111395367466766
100.0,10.0,1.0,1.0,10.0,0.42875644071527
110.0,10.0,1.0,1.0,10.0,0.4448189609521165
